id,title,asset,givens_81,solution_81,clues,stored_difficulty,stored_score,rerated_difficulty,rerated_score,human_solved,solution_count,step_count,required_techniques,technique_counts,ranked_eligible,audit_reason
extreme_090,Expert Challenge 90,assets/puzzles/extreme/extreme_03.json,000050310790000000006002000000000000000497000001628470953000200000000008000204900,824759316795361824316842795479513682682497531531628479953186247247935168168274953,24,expert,296,expert,296,true,1,77,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair,naked_single:49|hidden_single:8|hidden_pair:3|naked_pair:3|pointing_pair:14,true,Re-rated above Expert threshold by current solver score.
extreme_089,Expert Challenge 89,assets/puzzles/extreme/extreme_03.json,001006008500020000000300900000001086197000300000000100800000061000010854700500000,921476538583129647674385912352791486197864325468253179845932761239617854716548293,24,expert,290,expert,290,true,1,77,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair,naked_single:45|hidden_single:12|naked_pair:8|hidden_pair:6|pointing_pair:6,true,Re-rated above Expert threshold by current solver score.
extreme_088,Expert Challenge 88,assets/puzzles/extreme/extreme_03.json,000000800000945700020001045000300000764000000000060018000000093286000000001500000,549726831138945726627831945812359467764218359953467218475682193286193574391574682,23,expert,287,expert,287,true,1,76,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair|x_wing,hidden_single:9|hidden_pair:3|naked_pair:4|pointing_pair:10|x_wing:1|naked_single:49,true,Re-rated above Expert threshold by current solver score.
extreme_087,Expert Challenge 87,assets/puzzles/extreme/extreme_03.json,090050007840000001000007090000070620000009700083000100070040000000002000010730408,296351847847926531531487296159873624624519783783264159375648912468192375912735468,24,expert,285,expert,285,true,1,74,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair|x_wing,naked_single:41|hidden_single:16|naked_pair:7|hidden_pair:3|pointing_pair:5|x_wing:2,true,Re-rated above Expert threshold by current solver score.
extreme_085,Expert Challenge 85,assets/puzzles/extreme/extreme_03.json,705920003906000000080700000000004130800007209030000060000098300600040000001070090,715926483926483715483715926259864137864137259137259864572698341698341572341572698,26,expert,278,expert,278,true,1,69,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair|x_wing,naked_single:41|hidden_single:14|naked_pair:2|hidden_pair:2|pointing_pair:6|x_wing:4,true,Re-rated above Expert threshold by current solver score.
extreme_086,Expert Challenge 86,assets/puzzles/extreme/extreme_03.json,000060010083000002570000000000500409100900020407000000800400000005000001000086700,924863517683751942571294638362518479158947326497632185816475293745329861239186754,22,expert,278,expert,278,true,1,75,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair|x_wing,hidden_single:14|hidden_pair:2|naked_single:45|naked_pair:3|pointing_pair:10|x_wing:1,true,Re-rated above Expert threshold by current solver score.
extreme_083,Expert Challenge 83,assets/puzzles/extreme/extreme_03.json,060704000008030000072000500000000894200000000009100070920000000005209008600007040,563724189198635427472981536316572894257498361849163275924816753735249618681357942,24,expert,273,expert,273,true,1,72,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair|x_wing,hidden_single:8|naked_pair:4|hidden_pair:2|pointing_pair:6|x_wing:3|naked_single:49,true,Re-rated above Expert threshold by current solver score.
extreme_084,Expert Challenge 84,assets/puzzles/extreme/extreme_03.json,090001007000360000300090841200009000000000509000740006600020080010004000903000000,592481637481367952367592841236159478748236519159748326674923185815674293923815764,24,expert,273,expert,273,true,1,74,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair|x_wing,hidden_single:8|naked_pair:9|hidden_pair:2|pointing_pair:4|naked_single:49|x_wing:2,true,Re-rated above Expert threshold by current solver score.
extreme_082,Expert Challenge 82,assets/puzzles/extreme/extreme_03.json,000000000380700010007451000050020700009000000000800230006010040170380000000000075,514238697382769514697451382458923761239176458761845239926517843175384926843692175,24,expert,272,expert,272,true,1,71,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair|x_wing,hidden_single:14|naked_pair:7|hidden_pair:2|x_wing:4|pointing_pair:1|naked_single:43,true,Re-rated above Expert threshold by current solver score.
extreme_081,Expert Challenge 81,assets/puzzles/extreme/extreme_03.json,100000800000604000040073000200000108000007040000010900800701000500006201002000300,137952864925684713648173592279465138381297645456318927863721459594836271712549386,23,expert,271,expert,271,true,1,72,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair|x_wing,hidden_single:19|hidden_pair:2|pointing_pair:7|naked_pair:3|x_wing:2|naked_single:39,true,Re-rated above Expert threshold by current solver score.
extreme_079,Expert Challenge 79,assets/puzzles/extreme/extreme_03.json,000000004027000000100000859006000000500980160008107000000000000050390002000702048,985631274427859631163274859716425983542983167398167425271548396854396712639712548,24,expert,267,expert,267,true,1,71,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair|x_wing,hidden_single:15|hidden_pair:4|pointing_pair:6|naked_pair:2|naked_single:42|x_wing:2,true,Re-rated above Expert threshold by current solver score.
extreme_080,Expert Challenge 80,assets/puzzles/extreme/extreme_03.json,003000058700930000000000600200140005070000800004000060080009000000204001026000900,693421758758936142142587693269148375375692814814753269581379426937264581426815937,23,expert,267,expert,267,true,1,72,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair|x_wing,hidden_single:9|hidden_pair:2|naked_single:49|naked_pair:4|pointing_pair:5|x_wing:3,true,Re-rated above Expert threshold by current solver score.
extreme_077,Expert Challenge 77,assets/puzzles/extreme/extreme_03.json,760000000004003000000900580008000007007030260000059000000308190910000000003600040,769485312854213679132976584348162957597834261621759438475328196916547823283691745,24,expert,266,expert,266,true,1,74,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair,hidden_single:11|naked_single:46|hidden_pair:1|naked_pair:6|pointing_pair:10,true,Re-rated above Expert threshold by current solver score.
extreme_078,Expert Challenge 78,assets/puzzles/extreme/extreme_03.json,300060970010009020004000010000400005180000000200050709002300000030070490600000000,328165974516749328974283516769432185185697243243851769492318657831576492657924831,24,expert,266,expert,266,true,1,72,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair|x_wing,hidden_single:9|naked_single:48|hidden_pair:1|pointing_pair:8|naked_pair:4|x_wing:2,true,Re-rated above Expert threshold by current solver score.
extreme_075,Expert Challenge 75,assets/puzzles/extreme/extreme_03.json,050728000000056000000000360802030000000070020000000913000004036090060570100000000,356728491419356782728419365842931657931675824675842913587294136294163578163587249,24,expert,264,expert,264,true,1,73,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair,hidden_single:10|hidden_pair:6|naked_pair:2|pointing_pair:8|naked_single:47,true,Re-rated above Expert threshold by current solver score.
extreme_076,Expert Challenge 76,assets/puzzles/extreme/extreme_03.json,043000000000950000000000186005800009810006300000000000002000000670000400000080617,243168975168957234957243186325814769814796352796325841482671593671539428539482617,22,expert,264,expert,264,true,1,75,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair,hidden_single:16|naked_pair:7|hidden_pair:3|naked_single:43|pointing_pair:6,true,Re-rated above Expert threshold by current solver score.
extreme_073,Expert Challenge 73,assets/puzzles/extreme/extreme_03.json,004000165000009000032000000000860000200000390000004082000000000719480000600097040,974328165561749238832615479493862751286571394157934682348256917719483526625197843,24,expert,263,expert,263,true,1,71,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair|x_wing,naked_single:48|hidden_single:9|hidden_pair:2|pointing_pair:9|x_wing:2|naked_pair:1,true,Re-rated above Expert threshold by current solver score.
extreme_074,Expert Challenge 74,assets/puzzles/extreme/extreme_03.json,000000208019080000800503006400700000000005003001090800000000060106000470000310002,753169248619284537824573196485731629962845713371692854298457361136928475547316982,24,expert,263,expert,263,true,1,72,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair|x_wing,hidden_single:12|naked_pair:3|hidden_pair:4|pointing_pair:7|x_wing:1|naked_single:45,true,Re-rated above Expert threshold by current solver score.
extreme_071,Expert Challenge 71,assets/puzzles/extreme/extreme_03.json,018000000706000043400970800080004000007000090900610038500000107000003004000780002,218345679796128543435976821382594716167832495954617238523469187871253964649781352,27,expert,262,expert,262,true,1,70,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair|x_wing,hidden_single:12|naked_pair:9|hidden_pair:1|naked_single:42|pointing_pair:4|x_wing:2,true,Re-rated above Expert threshold by current solver score.
extreme_072,Expert Challenge 72,assets/puzzles/extreme/extreme_03.json,704310000000500306001000000000000060000020978000405000000759600403000759000000000,754316892289547316631892547312978465546123978897465123128759634463281759975634281,24,expert,262,expert,262,true,1,74,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair,hidden_single:5|hidden_pair:4|naked_pair:5|pointing_pair:8|naked_single:52,true,Re-rated above Expert threshold by current solver score.
extreme_069,Expert Challenge 69,assets/puzzles/extreme/extreme_03.json,000780504080000201460000000010802007000000900040015000000000000003008156000320008,192783564387564291465291783519832647238647915746915832874156329923478156651329478,25,expert,261,expert,261,true,1,70,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair|x_wing,hidden_single:13|naked_pair:3|pointing_pair:8|x_wing:2|hidden_pair:1|naked_single:43,true,Re-rated above Expert threshold by current solver score.
extreme_070,Expert Challenge 70,assets/puzzles/extreme/extreme_03.json,017000000506007000040000013000500400000060000001080026000090561080010000000043200,317428695596137842248956713629571438834269157751384926473892561982615374165743289,24,expert,261,expert,261,true,1,72,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair|x_wing,hidden_single:16|naked_pair:6|hidden_pair:2|pointing_pair:6|x_wing:1|naked_single:41,true,Re-rated above Expert threshold by current solver score.
extreme_067,Expert Challenge 67,assets/puzzles/extreme/extreme_03.json,000000000000016250005807006000000741100600309008000000000970000210030070400000008,641253897789416253325897416562389741174625389938741625853974162216538974497162538,24,expert,260,expert,260,true,1,71,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair|x_wing,hidden_single:10|naked_pair:3|hidden_pair:2|pointing_pair:7|x_wing:2|naked_single:47,true,Re-rated above Expert threshold by current solver score.
extreme_068,Expert Challenge 68,assets/puzzles/extreme/extreme_03.json,709006000000040000080000653100003200630580000000000007000090001908007000001020400,719356842563248179482971653194763285637582914825419367256894731948137526371625498,24,expert,260,expert,260,true,1,73,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair|x_wing,hidden_single:8|naked_pair:7|hidden_pair:2|naked_single:49|pointing_pair:6|x_wing:1,true,Re-rated above Expert threshold by current solver score.
extreme_064,Expert Challenge 64,assets/puzzles/extreme/extreme_03.json,070010000018600000000002040020106900590700000000500004200005007000030000030000685,372418569418659732659372148724186953593724816186593274241865397865937421937241685,24,expert,259,expert,259,true,1,70,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair|x_wing,hidden_single:14|pointing_pair:9|x_wing:2|naked_pair:1|hidden_pair:1|naked_single:43,true,Re-rated above Expert threshold by current solver score.
extreme_065,Expert Challenge 65,assets/puzzles/extreme/extreme_03.json,000007196000000000001340000403005000000000007000070581750000000000050800190006070,342587196587961234961342758473815962815629347629473581754198623236754819198236475,23,expert,259,expert,259,true,1,71,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair|x_wing,hidden_single:12|hidden_pair:5|naked_pair:1|pointing_pair:5|naked_single:46|x_wing:2,true,Re-rated above Expert threshold by current solver score.
extreme_066,Expert Challenge 66,assets/puzzles/extreme/extreme_03.json,680000005000000100307680000500800307000006000024900000000000020009000014000230500,681492735492357168357681249516824397973516482824973651765148923239765814148239576,23,expert,259,expert,259,true,1,74,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair,hidden_single:11|hidden_pair:3|naked_pair:6|naked_single:47|pointing_pair:7,true,Re-rated above Expert threshold by current solver score.
extreme_060,Expert Challenge 60,assets/puzzles/extreme/extreme_02.json,020000000007302080600000001032080450000723000060000000016000900805037000900000800,321648597597312684684579321732186459459723168168495732216854973845937216973261845,25,expert,258,expert,258,true,1,70,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair|x_wing,naked_single:46|hidden_single:10|hidden_pair:4|pointing_pair:5|naked_pair:3|x_wing:2,true,Re-rated above Expert threshold by current solver score.
extreme_061,Expert Challenge 61,assets/puzzles/extreme/extreme_03.json,000000200800471006000038000350040000004000002000000870000000620065000001970050000,147965283823471956596238417352847169784196532619523874438719625265384791971652348,23,expert,258,expert,258,true,1,73,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair|x_wing,naked_single:49|hidden_single:9|naked_pair:5|hidden_pair:2|pointing_pair:7|x_wing:1,true,Re-rated above Expert threshold by current solver score.
extreme_062,Expert Challenge 62,assets/puzzles/extreme/extreme_03.json,000080206006970000080000901500739000000000012000500000020005000300000100000340008,971483256256971483483256971512739864739864512864512739628195347347628195195347628,23,expert,258,expert,258,true,1,73,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair|x_wing,naked_single:49|hidden_single:9|naked_pair:5|hidden_pair:3|pointing_pair:6|x_wing:1,true,Re-rated above Expert threshold by current solver score.
extreme_063,Expert Challenge 63,assets/puzzles/extreme/extreme_03.json,000100060008000009060003040000000000257000000009681000000370000000000270002090605,923148567148765329765923841681257934257439186439681752516372498894516273372894615,22,expert,258,expert,258,true,1,75,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair,hidden_single:14|naked_pair:9|naked_single:45|hidden_pair:4|pointing_pair:3,true,Re-rated above Expert threshold by current solver score.
extreme_059,Expert Challenge 59,assets/puzzles/extreme/extreme_02.json,000015060000300079002000400000164030000000046010200005100780000954000000000000010,789415362541326879632897451895164237327958146416273985163782594954631728278549613,24,expert,257,expert,257,true,1,73,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair,naked_single:38|hidden_single:19|hidden_pair:2|naked_pair:10|pointing_pair:4,true,Re-rated above Expert threshold by current solver score.
extreme_056,Expert Challenge 56,assets/puzzles/extreme/extreme_02.json,000006700000003064005080100300860000000000010072430000589000040100958300700000000,231546798897123564465789132314865279658297413972431856589372641146958327723614985,26,expert,256,expert,256,true,1,70,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair|x_wing,hidden_single:13|pointing_pair:4|naked_pair:5|naked_single:42|hidden_pair:5|x_wing:1,true,Re-rated above Expert threshold by current solver score.
extreme_057,Expert Challenge 57,assets/puzzles/extreme/extreme_02.json,567900000000600800000010000002500000009070600000030071230000508000895400000000000,567948312123657849498213756712586934349172685856439271234761598671895423985324167,23,expert,256,expert,256,true,1,73,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair,hidden_single:11|hidden_pair:5|naked_pair:3|pointing_pair:7|naked_single:47,true,Re-rated above Expert threshold by current solver score.
extreme_058,Expert Challenge 58,assets/puzzles/extreme/extreme_02.json,000000000072690000000051407008000060000520000730000580180005000000000000200360090,851472639472693815693851427528734961916528743734916582189245376367189254245367198,23,expert,256,expert,256,true,1,74,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair,hidden_single:14|naked_pair:9|hidden_pair:4|pointing_pair:3|naked_single:44,true,Re-rated above Expert threshold by current solver score.
extreme_053,Expert Challenge 53,assets/puzzles/extreme/extreme_02.json,000930040070002009083000001000320080000000900092080106000700000230000050000010400,126938745574162839983547261617329584458671923392485176849756312231894657765213498,24,expert,255,expert,255,true,1,70,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair|x_wing,hidden_single:10|hidden_pair:2|pointing_pair:8|naked_pair:1|x_wing:2|naked_single:47,true,Re-rated above Expert threshold by current solver score.
extreme_054,Expert Challenge 54,assets/puzzles/extreme/extreme_02.json,384000000000000070000950004000004009100000000702100050000000030508070620430010000,384267915915348276276951384853724169169835742742196853621589437598473621437612598,23,expert,255,expert,255,true,1,72,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair|x_wing,naked_single:43|hidden_single:15|naked_pair:5|hidden_pair:1|pointing_pair:7|x_wing:1,true,Re-rated above Expert threshold by current solver score.
extreme_055,Expert Challenge 55,assets/puzzles/extreme/extreme_02.json,050030700001050000000700860010060000467500000000302000000000902080905000000000640,856239714741856293239741865312467589467598321598312476173684952684925137925173648,23,expert,255,expert,255,true,1,73,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair,naked_single:46|hidden_single:12|naked_pair:4|hidden_pair:3|pointing_pair:8,true,Re-rated above Expert threshold by current solver score.
extreme_049,Expert Challenge 49,assets/puzzles/extreme/extreme_02.json,002006000009000300587000409904800000010000000000050178400100000020003705000000280,132946857649785312587231469954817623718362594263459178475128936821693745396574281,25,expert,254,expert,254,true,1,72,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair,hidden_single:6|naked_pair:4|naked_single:50|hidden_pair:3|pointing_pair:9,true,Re-rated above Expert threshold by current solver score.
extreme_050,Expert Challenge 50,assets/puzzles/extreme/extreme_02.json,050000036000008000410000507904006001000007200080090000000400008309000000065020090,758142936693578124412963587924356871536817249187294365271439658349685712865721493,24,expert,254,expert,254,true,1,71,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair|x_wing,naked_single:45|hidden_single:12|pointing_pair:8|hidden_pair:2|x_wing:1|naked_pair:3,true,Re-rated above Expert threshold by current solver score.
extreme_051,Expert Challenge 51,assets/puzzles/extreme/extreme_02.json,700024510000000876000000000006001300010007080503000000050000062000410000000090105,768924513942153876135786294896241357214537689573869421451378962629415738387692145,24,expert,254,expert,254,true,1,71,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair|x_wing,hidden_single:16|hidden_pair:2|naked_pair:5|pointing_pair:6|naked_single:41|x_wing:1,true,Re-rated above Expert threshold by current solver score.
extreme_052,Expert Challenge 52,assets/puzzles/extreme/extreme_02.json,008000000010400300005700098530006000200040509000000070000080054000003100080900000,498365712712498365365712498539276841276841539841539276623187954954623187187954623,23,expert,254,expert,254,true,1,69,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair|x_wing,hidden_single:17|naked_pair:1|naked_single:41|hidden_pair:3|pointing_pair:4|x_wing:3,true,Re-rated above Expert threshold by current solver score.
extreme_045,Expert Challenge 45,assets/puzzles/extreme/extreme_02.json,050000370000073100060090008070010000005008009000000830000100900610200000509004060,951842376482673195763591248378916524245738619196425837834167952617259483529384761,25,expert,253,expert,253,true,1,69,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair|x_wing,hidden_single:12|hidden_pair:4|naked_pair:2|pointing_pair:5|x_wing:2|naked_single:44,true,Re-rated above Expert threshold by current solver score.
extreme_046,Expert Challenge 46,assets/puzzles/extreme/extreme_02.json,030010000208000901790000060000590000000000600104006700000000190307020800012000007,635719428248653971791284365863597214579142683124836759486375192357921846912468537,25,expert,253,expert,253,true,1,71,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair|x_wing,hidden_single:8|naked_pair:5|pointing_pair:7|x_wing:1|naked_single:48|hidden_pair:2,true,Re-rated above Expert threshold by current solver score.
